Timestamp,Topic,Room,Data_Payload
"31/3/2569 19:11:34","m5/room1/power","room1","{"room":"room1";"current_amp":0.07;"power_watt":0.34;"Timestamp":"1999-11-30 00:08:01";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:11:39","m5/room1/power","room1","{"room":"room1";"current_amp":0.08;"power_watt":0.39;"Timestamp":"1999-11-30 00:08:06";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:11:44","m5/room1/power","room1","{"room":"room1";"current_amp":0;"power_watt":0;"Timestamp":"1999-11-30 00:08:11";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:11:49","m5/room1/power","room1","{"room":"room1";"current_amp":0;"power_watt":0;"Timestamp":"1999-11-30 00:08:16";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:11:54","m5/room1/power","room1","{"room":"room1";"current_amp":0;"power_watt":0;"Timestamp":"1999-11-30 00:08:21";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:12:00","m5/room1/power","room1","{"room":"room1";"current_amp":0;"power_watt":0;"Timestamp":"1999-11-30 00:08:26";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:12:05","m5/room1/power","room1","{"room":"room1";"current_amp":0;"power_watt":0;"Timestamp":"1999-11-30 00:08:31";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:14:02","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"open";"M5":false;"RFID":"4F140D35";"Timestamp":"1999-11-30 00:10:28";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:14:04","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"closed";"M5":false;"RFID":null;"Timestamp":"1999-11-30 00:10:31";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:14:07","m5/room1/power","room1","{"room":"room1";"current_amp":0;"power_watt":0;"Timestamp":"1999-11-30 00:10:33";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:14:12","m5/room1/power","room1","{"room":"room1";"current_amp":0;"power_watt":0;"Timestamp":"1999-11-30 00:10:38";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:14:15","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"open";"M5":false;"RFID":"4F140D35";"Timestamp":"1999-11-30 00:10:41";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:14:18","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"closed";"M5":false;"RFID":null;"Timestamp":"1999-11-30 00:10:44";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:14:18","m5/room1/power","room1","{"room":"room1";"current_amp":0;"power_watt":0;"Timestamp":"1999-11-30 00:10:45";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:14:23","m5/room1/power","room1","{"room":"room1";"current_amp":0;"power_watt":0;"Timestamp":"1999-11-30 00:10:50";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:14:24","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"open";"M5":false;"RFID":"4F140D35";"Timestamp":"1999-11-30 00:10:50";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:14:26","m5/room1/doorstatus","room1","{"Register":false;"room":"room1";"status":"closed";"M5":false;"RFID":null;"Timestamp":"1999-11-30 00:10:53";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
"31/3/2569 19:14:28","m5/room1/power","room1","{"room":"room1";"current_amp":0;"power_watt":0;"Timestamp":"1999-11-30 00:10:55";"hash":"01c17f990d960f361520eb02e417122b143da15f6f2f5997072f376f1fa21de4"}"
